Año,CCAA,PIB_anual,PIB_capita,Renta media por persona (con alquiler imputado),Renta media por unidad de consumo,Renta media por unidad de consumo (con alquiler imputado),Renta neta media por persona,Total_paro,busquedas_running,Income_Group,Unemp_Group,Search_Group
2019,Extremadura,21.166,19.863,10.447,12.816,15.125,8.796,23.48,77.0,Low,High,Medium
2019,Galicia,64.502,23.901,13.119,16.621,19.273,11.218,11.74,67.0,Medium,Medium,Low
2019,Baleares,34.351,29.458,14.081,18.42,20.766,12.41,9.91,74.0,Medium,Low,Medium
2019,LaRioja,8.89,28.04,14.542,18.661,21.187,12.697,9.89,66.0,High,Low,Low
2019,Melilla,1.56,18.073,13.185,18.003,20.272,11.733,26.81,91.0,Medium,High,Medium
2019,Navarra,21.07,32.136,15.786,20.697,23.26,13.937,9.01,84.0,High,Low,Medium
2019,PaisVasco,74.0,33.59,17.648,22.48,25.729,15.3,9.09,88.0,High,Low,Medium
2019,Murcia,33.001,22.015,10.638,13.637,16.043,8.956,16.08,97.0,Low,Medium,High
2020,Andalucia,150.453,17.772,11.804,14.958,17.533,9.99,22.74,83.0,Low,High,High
2020,Aragon,35.956,27.003,14.966,19.15,21.758,13.097,12.49,80.0,Medium,Medium,Medium
2020,Asturias,21.376,21.069,14.833,18.028,20.787,12.786,13.5,73.0,Medium,Medium,Medium
2020,Canarias,37.587,17.239,11.686,14.99,17.452,9.935,25.22,62.0,Low,High,Low
2020,Cantabria,12.991,22.279,14.688,18.578,21.238,12.748,11.79,67.0,Medium,Medium,Medium
2020,CastillaLeon,54.795,22.934,14.664,18.284,20.945,12.697,11.61,72.0,Medium,Low,Medium
2020,CastillaLaMancha,40.254,19.675,12.159,15.802,18.162,10.485,17.39,81.0,Medium,Medium,Medium
2020,Catalunya,214.857,27.796,16.105,20.872,23.576,14.17,13.87,85.0,High,Medium,High
2020,Ceuta,1.536,18.184,11.645,15.058,17.742,9.853,26.74,57.0,Low,High,Low
2020,ComunidadValenciana,106.067,20.98,13.254,16.518,19.185,11.332,16.37,80.0,Medium,Medium,Medium
2020,Madrid,221.062,32.853,16.702,21.429,24.406,14.58,13.53,84.0,High,Medium,High
2020,Extremadura,19.497,18.351,10.879,13.297,15.697,9.147,21.32,78.0,Low,High,Medium
2020,Galicia,59.007,21.864,13.445,16.757,19.489,11.469,11.66,65.0,Medium,Low,Low
2020,Baleares,26.669,22.611,14.303,18.787,21.103,12.658,17.34,64.0,Medium,Medium,Low
2020,LaRioja,8.187,25.654,15.381,19.698,22.284,13.504,10.36,55.0,High,Low,Low
2020,Melilla,1.452,16.776,13.067,18.214,20.786,11.427,23.83,69.0,Medium,High,Medium
